Category,Name,Price,Reviews,URL,Clean_Price,Clean_Reviews,Clean_Rating,Price_Category,Value_Score
Electronics,,US$34.99,0,https://www.banggood.com/AMNVOLT-V4-ATS-Mini-SI4732-Radio-ALL-Band-DSP-Radio-FM-AM-SSB-LSB-USB-Receiver-built-in-Hi-Z-Headphone-Amplifier-Circuit-with-Dual-Antenna-p-2042514.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6335577,,0,0.0,High,0.0
Electronics,,US$39.99,0,https://www.banggood.com/2Pcs-BAOFENG-UV-5R-Mini-5W-Walkie-Talkie-Bluetooth-APP-Programming-Multi-Band-One-Click-Copy-Frequency-Type-C-5R-Mini-Two-Way-Radio-p-2037975.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287836,,0,0.0,High,0.0
Electronics,,US$569.99,0,https://www.banggood.com/EU-or-US-DirectATOMSTACK-Maker-A30-PRO-or-S30-PRO-160W-Laser-Engraver-Real-33W-Laser-Power-6-core-Laser-Engraving-and-Cutting-Machine-p-2042208.html?rmmds=ElectronicsFlashDeals&cur_warehouse=USA&ID=6287832,,0,0.0,High,0.0
Electronics,,US$32.99,0,https://www.banggood.com/Hiseeu-C90B-4MP-Solar-WIFI-IP-Camera-Full-Color-Night-Vision-IP65-Waterproof-AI-Motion-Detection-Two-Way-Audio-100-pencent-Wireless-Eseecloud-App-Smart-Home-Surveillance-Monitor-p-2020046.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6292509,,0,0.0,High,0.0
Electronics,,US$94.99,0,https://www.banggood.com/GA800-Radio-Shortwave-Antenna-Small-Active-Loop-Shortwave-Antenna-10kHz-159kHz-HF-p-1967167.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0,,0,0.0,High,0.0
Electronics,,US$19.99,0,https://www.banggood.com/Chameleon-3_0-Smart-Card-Emulator-Compatible-with-NFC-Reader-Writer-RFID-Smart-Chip-ID-IC-Reader-Tag-Copyer-p-2041415.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287830,,0,0.0,High,0.0
Electronics,,US$22.99,0,https://www.banggood.com/1Pcs-Baofeng-UV-5R-Mini-5W-Power-Multi-Band-Walkie-Talkie-999-Channels-bluetooth-Programmable-One-key-Frequency-Pairing-Two-Way-Radio-1600mAh-Battery-with-Type-C-Charging-for-Outdoor-Camping-Hiking-Road-Trip-p-2040063.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287836,,0,0.0,High,0.0
Electronics,,US$319.99,0,https://www.banggood.com/US-DirectSCULPFUN-S30-Ultra-11W-Laser-Engraving-Machine-Laser-Cutter-600x600mm-Engraving-Area-Automatic-Air-Assist-Replaceable-Lens-Includes-Laser-Repair-Kit-Air-Assist-M8-Main-Board-p-1985202.html?rmmds=ElectronicsFlashDeals&cur_warehouse=USA&ID=0,,0,0.0,High,0.0
Electronics,,US$31.99,0,https://www.banggood.com/Hiseeu-WS418B-4K-8MP-Dual-Lens-Outdoor-WiFi-Camera-Wireless-PTZ-Security-ONVIF-H_265+-Cam-Night-Vision-AI-Humanoid-Detect-Auto-Tracking-Two-Way-Audio-Monitoring-IP-Cameras-p-2009650.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6334907,,0,0.0,High,0.0
Electronics,,US$109.99,0,https://www.banggood.com/ATS25-Pro+-Supports-bluetooth-Wifi-AIR-band-FM-SW-SSB-MW-LW-AIR-SDR-Receiver-Aviation-Band-Receiver-Firmware-4_2-SI5351-p-2027915.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287830,,0,0.0,High,0.0
